Culex_adamesi_TH_2           
Culex_declarator_TH_104      
Culex_declarator_TH_99       
Culex_dunni_TH_199           
Culex_dunni_TH_204           
Culex_dunni_TH_26            
Culex_dunni_TH_31            
Culex_eastor_TH_111          
Culex_idottus_TH_5           
Culex_nigripalpus_TH_14      
Culex_nigripalpus_TH_20      
Culex_nigripalpus_TH_98      
Culex_pedroi_TH_170          
Culex_pedroi_TH_174          
Culex_pedroi_TH_42           
Culex_pedroi_TH_48           
Culex_phlogistus_TH_122      
Culex_portesi_TH_156         
Culex_portesi_TH_159         
Culex_portesi_TH_39          
Culex_quinquefasciatus_TH_309
Culex_quinquefasciatus_TH_58 
Culex_quinquefasciatus_TH_66 
Culex_quinquefasciatus_TH_73 
Culex_rabanicolus_TH_7       
Culex_spissipes_TH_176       
Culex_spissipes_TH_49        
Culex_spissipes_TH_54        
Culex_usquatus_TH_80         
Culex_usquatus_TH_88         
Culex_usquatus_TH_92         
Culex_usquatus_TH_96         
